date;price;dix;gex
22/02/2012;1357660034;4,20993E+15;1,84799E+13
23/02/2012;1363459961;4,13213E+15;2,17845E+13
24/02/2012;136573999;4,31161E+15;2,04807E+13
27/02/2012;1367589966;4,38857E+16;2,1431E+13
28/02/2012;1372180054;4,20327E+15;2,48902E+13
29/02/2012;1365680054;4,56481E+16;2,27968E+13
01/03/2012;1374089966;4,60734E+16;2,53217E+13
02/03/2012;1369630005;4,5173E+15;2,19372E+13
05/03/2012;1364329956;4,38912E+16;1,9681E+13
06/03/2012;1343359985;4,32709E+16;1,36727E+13
07/03/2012;1352630005;4,64863E+16;1,66304E+13
08/03/2012;1365910034;4,4127E+14;2,461E+13
09/03/2012;1370869995;4,57584E+16;2,42237E+13
12/03/2012;1371089966;4,62078E+16;2,73908E+13
13/03/2012;1395949951;4,42058E+15;3,39041E+13
14/03/2012;1394280029;4,51866E+16;3,25685E+13
15/03/2012;1402599976;4,59551E+15;3,40473E+13
16/03/2012;1404170044;4,5747E+15;4,95913E+13
19/03/2012;140975;4,19983E+16;2,24954E+13
20/03/2012;140552002;4,18008E+15;2,38375E+13
21/03/2012;1402890015;4,35422E+15;2,38571E+13
22/03/2012;1392780029;4,33344E+15;2,05924E+13
23/03/2012;1397109985;4,32944E+15;1,99295E+13
26/03/2012;141651001;4,22078E+16;2,62011E+13
27/03/2012;141252002;4,25787E+15;2,80321E+13
28/03/2012;1405540039;4,46511E+15;2,64958E+13
29/03/2012;1403280029;4,57585E+16;2,33234E+13
30/03/2012;1408469971;4,23634E+15;2,2827E+13
02/04/2012;1419040039;4,19369E+16;2,91692E+13
03/04/2012;1413380005;4,46405E+15;3,0338E+13
04/04/2012;1398959961;4,46128E+16;2,60657E+13
05/04/2012;1398079956;4,40183E+15;2,33609E+13
09/04/2012;1382199951;4,42141E+15;2,11517E+13
10/04/2012;1358589966;4,48563E+16;1,36822E+13
11/04/2012;1368709961;4,64258E+16;1,46234E+13
12/04/2012;1387569946;4,43339E+15;1,95804E+13
13/04/2012;137026001;4,45218E+16;1,33773E+13
16/04/2012;1369569946;4,0292E+16;1,02836E+13
17/04/2012;1390780029;4,28623E+16;2,23374E+13
18/04/2012;1385140015;4,37122E+16;2,12078E+13
19/04/2012;1376920044;4,36355E+16;1,24524E+13
20/04/2012;1378530029;3,97272E+16;1,70615E+13
23/04/2012;1366939941;4,25108E+16;8,88536E+12
24/04/2012;1371969971;3,96245E+16;9,13084E+12
25/04/2012;1390689941;4,31299E+16;2,1108E+13
26/04/2012;139997998;4,40532E+16;2,26978E+13
27/04/2012;1403359985;4,30271E+15;1,93406E+13
30/04/2012;1397910034;4,26574E+15;1,62461E+13
01/05/2012;1405819946;4,26657E+16;1,75159E+13
02/05/2012;1402310059;4,49408E+16;1,79549E+13
03/05/2012;1391569946;4,40657E+16;1,32659E+13
04/05/2012;1369099976;4,37688E+16;8,50669E+12
07/05/2012;1369579956;4,2345E+16;9,02222E+12
08/05/2012;1363719971;4,56116E+16;7,1082E+12
09/05/2012;1354579956;4,52376E+15;5,68596E+12
10/05/2012;135798999;4,39342E+14;6,31565E+12
11/05/2012;1353390015;4,32142E+16;5,55887E+12
14/05/2012;1338349976;4,21752E+14;8,91355E+11
15/05/2012;1330660034;4,5914E+16;-1,25632E+12
16/05/2012;1324800049;4,36529E+16;-4,17012E+12
17/05/2012;1304859985;4,15799E+16;-8,46538E+12
18/05/2012;1295219971;4,40722E+16;-6,7297E+12
