DATE;OPEN;HIGH;LOW;CLOSE
03/05/2002;20760000;21120000;20240000;20300000
03/06/2002;20270000;20490000;19550000;19940000
03/07/2002;20720000;20810000;19970000;20040000
03/08/2002;19760000;20220000;19270000;19270000
03/11/2002;20660000;20770000;19560000;19840000
03/12/2002;20520000;20570000;19510000;19590000
03/13/2002;19830000;19890000;19400000;19460000
03/14/2002;19450000;19560000;18980000;19200000
03/15/2002;18770000;18840000;18380000;18420000
03/18/2002;18790000;19400000;18740000;18930000
03/19/2002;18500000;18660000;18090000;18160000
03/20/2002;18700000;18750000;18330000;18460000
03/21/2002;18610000;18840000;18140000;18150000
03/22/2002;18340000;18380000;17620000;17770000
03/25/2002;18180000;18720000;18040000;18480000
03/26/2002;18440000;18440000;17810000;18130000
03/27/2002;18100000;18160000;17550000;17700000
03/28/2002;17230000;17510000;17020000;17400000
04/01/2002;18990000;19500000;18610000;18730000
04/02/2002;19120000;19410000;19120000;19160000
04/03/2002;19410000;20470000;19400000;20200000
04/04/2002;19900000;20090000;19460000;19780000
04/05/2002;19330000;19400000;18780000;19130000
04/08/2002;20350000;20460000;19570000;19610000
04/09/2002;19310000;19730000;19300000;19470000
04/10/2002;19220000;19280000;18170000;18190000
04/11/2002;18720000;20350000;18560000;20300000
04/12/2002;19960000;20190000;19310000;19420000
04/15/2002;20130000;20200000;19470000;19820000
04/16/2002;18580000;19030000;18060000;18110000
04/17/2002;18340000;19030000;17900000;18430000
04/18/2002;17820000;19800000;17820000;19290000
04/19/2002;18410000;18960000;17730000;18300000
04/22/2002;19410000;20090000;19340000;19770000
04/23/2002;19230000;20330000;19200000;20280000
04/24/2002;20010000;20860000;19710000;20770000
04/25/2002;21560000;21700000;20860000;20950000
04/26/2002;20720000;22140000;20670000;22140000
04/29/2002;23230000;24500000;22910000;24050000
04/30/2002;24030000;24030000;21640000;21910000
05/01/2002;21440000;22030000;19910000;20060000
05/02/2002;20110000;20510000;19910000;20070000
05/03/2002;20250000;20960000;20050000;20190000
05/06/2002;20990000;22570000;20830000;22560000
05/07/2002;22380000;22590000;21640000;21940000
05/08/2002;21300000;21310000;20210000;20390000
05/09/2002;20840000;21620000;20830000;21560000
05/10/2002;21830000;22710000;21770000;22410000
05/13/2002;22250000;22250000;20670000;20720000
05/14/2002;19870000;20080000;19200000;19350000
05/15/2002;19500000;19650000;18500000;19190000
05/16/2002;19310000;19310000;18480000;18500000
05/17/2002;18010000;18570000;17700000;17700000
05/20/2002;18760000;19420000;18760000;19240000
05/21/2002;19040000;20110000;18990000;20050000
05/22/2002;20250000;20710000;19540000;19580000
05/23/2002;19050000;19160000;18190000;18230000
05/24/2002;18220000;19030000;18220000;18900000
05/28/2002;20210000;20770000;20070000;20310000
05/29/2002;20410000;20790000;19730000;20390000
05/30/2002;20880000;21580000;20420000;20610000
05/31/2002;20260000;20260000;19430000;19980000
06/03/2002;20980000;23370000;20620000;23370000
06/04/2002;23600000;24820000;23310000;23890000
06/05/2002;23520000;23770000;22460000;22610000
06/06/2002;22970000;24640000;22940000;24160000
06/07/2002;25960000;26150000;22980000;23510000
06/10/2002;24180000;24280000;23050000;23720000
06/11/2002;23110000;24500000;22810000;24450000
06/12/2002;24180000;25500000;23850000;24150000
06/13/2002;24650000;25560000;23970000;25020000
06/14/2002;28430000;28780000;25800000;25960000
06/17/2002;25920000;25920000;24600000;24640000
06/18/2002;24750000;24810000;24060000;24240000
06/19/2002;25050000;26080000;24650000;26060000
06/20/2002;26100000;27560000;26000000;27480000
06/21/2002;28380000;28500000;26840000;27230000
06/24/2002;27930000;29020000;26460000;26980000
06/25/2002;26410000;27920000;25490000;27840000
06/26/2002;29990000;30980000;28410000;28420000
06/27/2002;27670000;29240000;26290000;26290000
06/28/2002;25740000;25880000;24880000;25400000
07/01/2002;25710000;27160000;25630000;27110000
07/02/2002;27560000;29780000;27560000;28960000
07/03/2002;28880000;31030000;28760000;29420000
07/05/2002;27300000;27300000;25680000;27110000
07/08/2002;28540000;28780000;27880000;28250000
07/09/2002;27960000;30340000;27790000;30220000
07/10/2002;31400000;34170000;30770000;34100000
07/11/2002;34420000;36350000;33850000;33850000
07/12/2002;34300000;34300000;32410000;32940000
07/15/2002;35070000;38380000;34860000;35030000
07/16/2002;35970000;36820000;35200000;36650000
07/17/2002;34250000;36730000;33620000;35450000
07/18/2002;35200000;35420000;33450000;35120000
07/19/2002;36420000;38170000;35980000;38170000
07/22/2002;39130000;42580000;38570000;41870000
07/23/2002;42270000;46130000;42050000;44920000
07/24/2002;48170000;48460000;39830000;39860000
07/25/2002;40650000;42050000;38890000;39270000
07/26/2002;38610000;38800000;35510000;35510000
07/29/2002;33890000;33890000;31190000;31330000
07/30/2002;32040000;32770000;30600000;31920000
07/31/2002;32780000;33680000;32030000;32030000
08/01/2002;32770000;36950000;32770000;36950000
08/02/2002;37530000;43930000;36860000;41290000
08/05/2002;41950000;45210000;41770000;45080000
08/06/2002;43060000;43060000;40280000;42030000
08/07/2002;40720000;41370000;38650000;38730000
08/08/2002;38530000;39060000;36190000;36330000
08/09/2002;37410000;37480000;34690000;35330000
08/12/2002;37230000;37520000;36830000;37050000
08/13/2002;37240000;37310000;34200000;35820000
08/14/2002;35560000;35990000;32350000;32360000
08/15/2002;31900000;32100000;29430000;29430000
08/16/2002;29880000;29950000;28010000;28810000
08/19/2002;29600000;29730000;28290000;28610000
08/20/2002;29520000;30220000;29180000;29590000
08/21/2002;29180000;30060000;28070000;28230000
08/22/2002;28640000;28640000;27610000;27750000
08/23/2002;28080000;29540000;28080000;29320000
08/26/2002;30730000;31930000;29630000;29890000
08/27/2002;29890000;30800000;29530000;30110000
08/28/2002;31240000;33600000;31190000;33320000
